"latitude","longitude","pm2_5_level","no2_level"
42.355,-71.0189,0.98,15.08
42.365,-71.0189,0.98,15.08
42.375,-71.0189,0.98,15.08
42.385,-71.0189,0.98,15.08
42.245,-71.0089,0.98,15.08
42.255,-71.0089,0.98,15.08
42.265,-71.0089,0.98,15.08
42.275,-71.0089,0.98,15.08
42.285,-71.0089,0.98,15.08
42.295,-71.0089,0.98,15.08
42.305,-71.0089,0.98,15.08
42.315,-71.0089,0.98,15.08
42.325,-71.0089,0.98,15.08
42.335,-71.0089,0.98,15.08
42.345,-71.0089,0.98,15.08
42.355,-71.0089,0.98,15.08
42.365,-71.0089,0.98,15.08
42.375,-71.0089,0.98,15.08
42.385,-71.0089,0.98,15.08
42.245,-70.9989,1.67,21.42
42.255,-70.9989,1.67,21.42
42.265,-70.9989,1.67,21.42
42.275,-70.9989,1.67,21.42
42.285,-70.9989,1.67,21.42
42.295,-70.9989,1.67,21.42
42.305,-70.9989,1.67,21.42
42.315,-70.9989,1.67,21.42
42.325,-70.9989,1.67,21.42
42.335,-70.9989,1.67,21.42
42.345,-70.9989,1.67,21.42
42.355,-70.9989,1.67,21.42
42.365,-70.9989,1.67,21.42
42.375,-70.9989,1.67,21.42
42.385,-70.9989,1.67,21.42
42.245,-70.9889,1.67,21.42
42.255,-70.9889,1.67,21.42
42.265,-70.9889,1.67,21.42
42.275,-70.9889,1.67,21.42
42.285,-70.9889,1.67,21.42
42.295,-70.9889,1.67,21.42
42.305,-70.9889,1.67,21.42
42.315,-70.9889,1.67,21.42
42.325,-70.9889,1.67,21.42
42.335,-70.9889,1.67,21.42
42.345,-70.9889,1.67,21.42
42.355,-70.9889,1.67,21.42
42.365,-70.9889,1.67,21.42
42.375,-70.9889,1.67,21.42
42.385,-70.9889,1.67,21.42
