date,pm25,no2
2014-11-27,47,
2014-11-28,35,
2014-11-29,51,
2014-11-30,53,
2014-12-01,59,
2014-12-02,57,
2014-12-03,44,
2014-12-04,46,
2014-12-05,43,
2014-12-06,42,
2014-12-07,,
2014-12-08,40,
2014-12-09,52,
2014-12-10,30,
2014-12-11,36,
2014-12-12,35,
2014-12-13,45,
2014-12-14,48,
2014-12-15,38,
2014-12-16,46,
2014-12-17,52,
2014-12-18,43,
2014-12-19,30,
2014-12-20,31,
2014-12-21,43,
2014-12-22,40,
2014-12-23,40,
2014-12-24,20,
2014-12-25,31,
2014-12-26,21,
2014-12-27,36,
2014-12-28,53,
2014-12-29,51,
2015-01-01,,
2015-01-02,56,
2015-01-03,53,
2015-01-04,31,
2015-01-05,31,
2015-01-06,30,
2015-01-07,41,
2015-01-08,62,
2015-01-09,51,
2015-01-10,54,
2015-01-11,57,
2015-01-12,60,
2015-01-13,63,
2015-01-14,49,
2015-01-15,72,29
2015-01-16,61,19
2015-01-17,53,16
2015-01-18,36,25
2015-01-19,55,
2015-01-20,27,
2015-01-21,34,
2015-01-22,38,
2015-01-23,47,
2015-01-24,54,
2015-01-25,72,
2015-01-26,42,
2015-01-27,42,11
2015-01-28,30,19
2015-01-29,43,37
2015-01-30,54,27
2015-01-31,57,12
2015-02-01,43,19
2015-02-02,53,19
2015-02-03,36,25
2015-02-04,46,32
2015-02-05,67,27
2015-02-06,55,26
2015-02-07,55,23
2015-02-08,74,22
2015-02-09,64,23
2015-02-10,39,19
2015-02-11,29,21
2015-02-12,38,40
2015-02-13,78,18
2015-02-14,51,25
2015-02-15,58,15
2015-02-16,45,14
2015-02-17,46,31
2015-02-18,52,34
2015-02-19,58,27
2015-02-20,69,18
2015-02-21,53,27
2015-02-22,67,25
2015-02-23,62,21
2015-02-24,58,25
2015-02-25,53,29
2015-02-26,65,23
2015-02-27,46,30
2015-02-28,58,24
2015-03-01,59,32
2015-03-02,70,21
2015-03-03,66,23
2015-03-04,42,23
2015-03-05,45,22
2015-03-06,54,21
2015-03-07,44,23
2015-03-08,64,26
2015-03-09,71,31
2015-03-10,50,31
2015-03-11,62,23
2015-03-12,56,15
2015-03-13,35,20
2015-03-14,36,24
2015-03-15,42,13
2015-03-16,36,26
2015-03-17,40,23
2015-03-18,58,11
2015-03-19,34,17
2015-03-20,34,28
2015-03-21,44,25
2015-03-22,65,8
2015-03-23,34,14
2015-03-24,41,22
2015-03-25,53,27
2015-03-26,59,22
2015-03-27,59,23
2015-03-28,44,14
2015-03-29,34,22
2015-03-30,49,18
2015-03-31,32,20
2015-04-01,44,29
2015-04-02,52,21
2015-04-03,60,12
2015-04-04,47,10
2015-04-05,35,16
2015-04-06,39,16
2015-04-07,48,11
